id,title,release_date,budget,revenue,return,director_name
862.0,Toy Story,1995-10-30,30000000.0,373554033.0,12.45,John Lasseter
8844.0,Jumanji,1995-12-15,65000000.0,262797249.0,4.04,Joe Johnston
15602.0,Grumpier Old Men,1995-12-22,0.0,0.0,0.0,Howard Deutch
31357.0,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09,Forest Whitaker
11862.0,Father of the Bride Part II,1995-02-10,0.0,76578911.0,0.0,Charles Shyer
949.0,Heat,1995-12-15,60000000.0,187436818.0,3.12,Michael Mann
11860.0,Sabrina,1995-12-15,58000000.0,0.0,0.0,Sydney Pollack
45325.0,Tom and Huck,1995-12-22,0.0,0.0,0.0,Peter Hewitt
9091.0,Sudden Death,1995-12-22,35000000.0,64350171.0,1.84,Peter Hyams
710.0,GoldenEye,1995-11-16,58000000.0,352194034.0,6.07,Martin Campbell
9087.0,The American President,1995-11-17,62000000.0,107879496.0,1.74,Rob Reiner
12110.0,Dracula: Dead and Loving It,1995-12-22,0.0,0.0,0.0,Mel Brooks
21032.0,Balto,1995-12-22,0.0,11348324.0,0.0,Simon Wells
10858.0,Nixon,1995-12-22,44000000.0,13681765.0,0.31,Oliver Stone
1408.0,Cutthroat Island,1995-12-22,98000000.0,10017322.0,0.1,Renny Harlin
524.0,Casino,1995-11-22,52000000.0,116112375.0,2.23,Martin Scorsese
4584.0,Sense and Sensibility,1995-12-13,16500000.0,135000000.0,8.18,Ang Lee
5.0,Four Rooms,1995-12-09,4000000.0,4300000.0,1.07,Allison Anders
5.0,Four Rooms,1995-12-09,4000000.0,4300000.0,1.07,Alexandre Rockwell
5.0,Four Rooms,1995-12-09,4000000.0,4300000.0,1.07,Robert Rodriguez
5.0,Four Rooms,1995-12-09,4000000.0,4300000.0,1.07,Quentin Tarantino
9273.0,Ace Ventura: When Nature Calls,1995-11-10,30000000.0,212385533.0,7.08,Steve Oedekerk
11517.0,Money Train,1995-11-21,60000000.0,35431113.0,0.59,Joseph Ruben
